algorithm,CALIBRATION,FAIRNESS_METRIC,LAMBDA,LAMBDA_VALUE,EVALUATION_METRIC,EVALUATION_VALUE
BEST_SCORE,LIN,KL,FIXED,0.1,MRR,0.0014906172774051785
BEST_SCORE,LIN,KL,FIXED,0.1,MRMC,0.5200126376972717
BEST_SCORE,LIN,KL,FIXED,0.2,MACE,0.13762971196470175
BEST_SCORE,LIN,KL,FIXED,0.2,MAP,0.0005225100906117793
BEST_SCORE,LIN,KL,FIXED,0.2,MRR,0.0015484216820271749
BEST_SCORE,LIN,KL,FIXED,0.2,MRMC,0.496383974956194
BEST_SCORE,LIN,KL,FIXED,0.3,MACE,0.13604088864147132
BEST_SCORE,LIN,KL,FIXED,0.3,MAP,0.000567609798914308
BEST_SCORE,LIN,KL,FIXED,0.3,MRR,0.0017143976412857466
BEST_SCORE,LIN,KL,FIXED,0.3,MRMC,0.4542741954209315
BEST_SCORE,LIN,KL,FIXED,0.4,MACE,0.1366389633203439
BEST_SCORE,LIN,KL,FIXED,0.4,MAP,0.0006213028499166929
BEST_SCORE,LIN,KL,FIXED,0.4,MRR,0.001823428284738361
BEST_SCORE,LIN,KL,FIXED,0.4,MRMC,0.4077834850974335
BEST_SCORE,LIN,KL,FIXED,0.5,MACE,0.13467968619203727
BEST_SCORE,LIN,KL,FIXED,0.5,MAP,0.0007127810815879103
BEST_SCORE,LIN,KL,FIXED,0.5,MRR,0.0020650040598082908
BEST_SCORE,LIN,KL,FIXED,0.5,MRMC,0.3549707482595615
BEST_SCORE,LIN,KL,FIXED,0.6,MACE,0.1341548772190264
BEST_SCORE,LIN,KL,FIXED,0.6,MAP,0.0008155894674729339
BEST_SCORE,LIN,KL,FIXED,0.6,MRR,0.0022767817256590683
BEST_SCORE,LIN,KL,FIXED,0.6,MRMC,0.3086626147519572
BEST_SCORE,LIN,KL,FIXED,0.7,MACE,0.13480936351827796
BEST_SCORE,LIN,KL,FIXED,0.7,MAP,0.00096451619554236
BEST_SCORE,LIN,KL,FIXED,0.7,MRR,0.002694912525122212
BEST_SCORE,LIN,KL,FIXED,0.7,MRMC,0.25532726142924994
BEST_SCORE,LIN,KL,FIXED,0.8,MACE,0.13562428898373233
BEST_SCORE,LIN,KL,FIXED,0.8,MAP,0.0010593203282013824
BEST_SCORE,LIN,KL,FIXED,0.8,MRR,0.002910936544263692
BEST_SCORE,LIN,KL,FIXED,0.8,MRMC,0.2050911328484456
BEST_SCORE,LIN,KL,FIXED,0.9,MACE,0.13352309684336405
BEST_SCORE,LIN,KL,FIXED,0.9,MAP,0.0012621585612864145
BEST_SCORE,LIN,KL,FIXED,0.9,MRR,0.003580019459588953
BEST_SCORE,LIN,KL,FIXED,0.9,MRMC,0.17735418998356398
BEST_SCORE,LIN,KL,FIXED,1.0,MACE,0.09981019566606876
BEST_SCORE,LIN,KL,FIXED,1.0,MAP,0.0017095376531264448
BEST_SCORE,LIN,KL,FIXED,1.0,MRR,0.004827293693502637
BEST_SCORE,LIN,KL,FIXED,1.0,MRMC,0.16697533044585522
BEST_SCORE,LIN,KL,FIXED,CGR,MACE,0.1380834576606668
BEST_SCORE,LIN,KL,FIXED,CGR,MAP,0.0005978840887914927
BEST_SCORE,LIN,KL,FIXED,CGR,MRR,0.0017199939912873664
BEST_SCORE,LIN,KL,FIXED,CGR,MRMC,0.3822046728084482
BEST_SCORE,LIN,KL,FIXED,VAR,MACE,0.13336750582462215
BEST_SCORE,LIN,KL,FIXED,VAR,MAP,0.0011326914221699894
BEST_SCORE,LIN,KL,FIXED,VAR,MRR,0.003178284983814767
BEST_SCORE,LIN,KL,FIXED,VAR,MRMC,0.18733554831974067
BEST_SCORE,LIN,HE,FIXED,0.0,MACE,0.13663813653326734
BEST_SCORE,LIN,HE,FIXED,0.0,MAP,0.0004893762622469247
BEST_SCORE,LIN,HE,FIXED,0.0,MRR,0.001451320100420119
BEST_SCORE,LIN,HE,FIXED,0.0,MRMC,0.9494519684471332
